id,title,description,link,image_link,availability,price,sale_price,brand,gtin,mpn,identifier_exists,condition,google_product_category
18,"Seoul 1988 Eye Cream Retinal Liposome","High‑performance retinal eye cream for smoother, firmer, brighter eyes.",https://poshystore.com/seoul-1988-eye-cream-retinal-liposome,https://poshystore.com/images/hero-beauty-1.png,in_stock,"19.00 JOD",,"Seoul 1988",,,no,new,"Health & Beauty"
19,"Somebymi Galactomyces Brightening Trial Kit","Mini brightening kit with galactomyces for radiant, refined, even‑toned skin.",https://poshystore.com/somebymi-galactomyces-brightening-trial-kit,https://poshystore.com/images/14%2019-24%2019%20SOMEBYMI%20GALACTOMYCES%20BRIGHTENING%20TRIAL%20KIT%20/1.png,in_stock,"19.00 JOD",,"SOME BY MI",,,no,new,"Health & Beauty"
20,"SOMEBYMI RETINOL INTENSE EYE CREAM","Triple‑action retinol eye cream for wrinkles, firmness, and brightness.",https://poshystore.com/somebymi-retinol-intense-eye-cream,https://poshystore.com/images/SOMEBYMI%20RETINOL%20INTENSE%20ADVANCED%20TRIPLE%20ACTION%20EYE%20CREAM%20/1.png,in_stock,"20.00 JOD",,"SOME BY MI",,,no,new,"Health & Beauty"
21,"medicube RED ACNE BODY PEELING SHOT","High‑strength body exfoliant for acne, rough texture, and clogged pores.",https://poshystore.com/medicube-red-acne-body-peeling-shot,https://poshystore.com/images/medicube%20RED%20ACNE%20BODY%20PEELING%20SHOT%20AHA%2BBHA%2BPHA%2BLHA%2032%25/1.png,in_stock,"25.00 JOD",,Medicube,,,no,new,"Health & Beauty"
22,"medicube COLLAGEN NIGHT WRAPPING MASK","Overnight collagen sleeping mask for firm, plump, deeply hydrated skin.",https://poshystore.com/medicube-collagen-night-wrapping-mask,https://poshystore.com/images/19%2025-30%2022%20medicube%20COLLAGEN%20NIGHT%20WRAPPING%20MASK%20/1.png,in_stock,"20.00 JOD",,Medicube,,,no,new,"Health & Beauty"
23,"The Ordinary Lip & Lash Set","The Ordinary sets featuring cult‑favorite serums and treatments",https://poshystore.com/the-ordinary-lip-and-lash-set,https://poshystore.com/images/The%20Ordinary%20Lip%20%26%20Lash%20Set/1.png,in_stock,"22.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
24,"The Ordinary Mini Icons Set","Travel‑size The Ordinary sets featuring cult‑favorite serums and treatments.",https://poshystore.com/the-ordinary-mini-icons-set,https://poshystore.com/images/The%20Ordinary%20Mini%20Icons%20Set/1.png,in_stock,"30.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
25,"The Ordinary Niacinamide 10% + Zinc 1%","Best‑selling niacinamide serum for oil control, pores, and clearer skin.",https://poshystore.com/the-ordinary-niacinamide-10-percent-plus-zinc-1-percent,https://poshystore.com/images/21%2030-35%2025%20The%20Ordinary.%20Niacinamide%2010%25%20%2B%20Zinc%201%25%20/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
26,"The Ordinary Caffeine Solution 5%","Caffeine eye serum to reduce puffiness and dark circles’ appearance.",https://poshystore.com/the-ordinary-caffeine-solution-5-percent,https://poshystore.com/images/SerumCaffeine%20Solution%205%25%20%2B%20EGCG%20Eye%20Serum%20/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
27,"The Ordinary Vitamin C Suspension 23%","High‑strength vitamin C cream for brightening and anti‑aging.",https://poshystore.com/the-ordinary-vitamin-c-suspension-23-percent,https://poshystore.com/images/The%20Ordinary.%20Vitamin%20C%20Suspension%2023%25%20%2B%20HA%20Spheres%202%25/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
28,"The Ordinary Hyaluronic Acid 2% + B5","Hydrating hyaluronic acid serum for plump, dewy, well‑moisturized skin.",https://poshystore.com/the-ordinary-hyaluronic-acid-2-percent-plus-b5,https://poshystore.com/images/12%2015-18%2028%20The%20Ordinary.%20Hyaluronic%20Acid%202%25%20%2B%20B5%20/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
29,"The Ordinary VITAMIN C Ascorbyl Glucoside 12%","Gentle vitamin C serum for brighter, more even, radiant skin.",https://poshystore.com/the-ordinary-vitamin-c-ascorbyl-glucoside-12-percent,https://poshystore.com/images/The%20Ordinary%20VITAMIN%20C%20Ascorbyl%20Glucoside%2012%25/1.png,in_stock,"22.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
30,"The Ordinary Alpha Arbutin 2% + HA","Targeted alpha arbutin serum for dark spots and uneven tone.",https://poshystore.com/the-ordinary-alpha-arbutin-2-percent-plus-ha,https://poshystore.com/images/The%20Ordinary%20Alpha%20Arbutin%202%25%20%2B%20HA/1.png,in_stock,"17.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
31,"The Ordinary Retinol 0.5% in Squalane","BHA treatment to unclog pores, target blemishes, and smooth texture.",https://poshystore.com/the-ordinary-retinol-05-percent-in-squalane,https://poshystore.com/images/The%20Ordinary.%20Retinol%200.5%25%20in%20Squalane%20/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
32,"The Ordinary Retinol 0.2%","Intro‑strength retinol in squalane for first‑time retinol users.",https://poshystore.com/the-ordinary-retinol-02-percent,https://poshystore.com/images/The%20Ordinary.%20Retinol%200.2%25/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
33,"The Ordinary AHA 30% + BHA 2% Peeling Solution","Intense AHA/BHA exfoliating peel for smoother, brighter, refined skin.",https://poshystore.com/the-ordinary-aha-30-percent-plus-bha-2-percent-peeling-solution,https://poshystore.com/images/hero-beauty-1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
34,"The Ordinary Glycolic Acid 7% exfoliating toner","Best‑selling glycolic acid toner for smoother, brighter, more even skin.",https://poshystore.com/the-ordinary-glycolic-acid-7-percent-toner,https://poshystore.com/images/The%20Ordinary%20Glycolic%20Acid%207%25%20Toner/1.png,in_stock,"20.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
35,"PAULA'S CHOICE 2% BHA Liquid Exfoliant","Iconic 2% BHA liquid exfoliant for blackheads, pores, and smooth skin.",https://poshystore.com/paulas-choice-2-percent-bha-liquid-exfoliant,https://poshystore.com/images/PAULA%27S%20CHOICE%202%25%20BHA%20Liquid%20Exfoliant/1.png,in_stock,"41.00 JOD",,"Paula’s choice",,,no,new,"Health & Beauty"
36,"PanOxyl Acne Creamy Wash 4% Benzoyl Peroxide","Dermatologist‑trusted 4% benzoyl peroxide wash for face and body acne.",https://poshystore.com/panoxyl-acne-creamy-wash-4-percent-benzoyl-peroxide,https://poshystore.com/images/PanOxyl%20Acne%20Creamy%20Wash%204%25%20Benzoyl%20Peroxide/1.png,in_stock,"18.00 JOD",,PanOxyl,,,no,new,"Health & Beauty"
37,"Crest 3D WHITESTRIPS Professional White Kit","Professional‑level at‑home whitening strips for a visibly whiter smile.",https://poshystore.com/crest-3d-whitestrips-professional-white-kit,https://poshystore.com/images/hero-beauty-1.png,in_stock,"55.00 JOD",,Crest,,,no,new,"Health & Beauty"
38,"COSRX Advanced Snail 96 Mucin Power Essence","Snail mucin essence for intense hydration, repair, and glass‑skin glow.",https://poshystore.com/cosrx-advanced-snail-96-mucin-power-essence,https://poshystore.com/images/35%2055-60%2040%20COSRX%20Advanced%20Snail%2096%20Mucin%20Power%20Essence%20/1.png,in_stock,"19.00 JOD",,Cosrx,,,no,new,"Health & Beauty"
39,"Celimax RETINAL SHOT TIGHTENING BOOSTER","Retinal booster for tighter, smoother, more youthful‑looking skin.",https://poshystore.com/celimax-retinal-shot-tightening-booster,https://poshystore.com/images/hero-beauty-1.png,in_stock,"17.00 JOD",,Celimax,,,no,new,"Health & Beauty"
41,"The Ordinary Multi‑Peptide Serum for Hair Density","Peptide hair serum to support thicker, fuller, denser‑looking hair.",https://poshystore.com/the-ordinary-multi-peptide-serum-for-hair-density,https://poshystore.com/images/hero-beauty-1.png,in_stock,"37.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
42,"The Ordinary Salicylic Acid 2%","BHA treatment to unclog pores, target blemishes, and smooth texture.",https://poshystore.com/the-ordinary-salicylic-acid-2-percent,https://poshystore.com/images/The%20Ordinary.%20Salicylic%20Acid%202%25/1.png,in_stock,"16.00 JOD",,"The ordinary",,,no,new,"Health & Beauty"
43,"Panoxyl 10% Acne Treatment Gel","Panoxyl 10% Acne Gel – benzoyl peroxide acne treatment for pimples, blackheads & oily, acne-prone skin. Reduces breakouts & redness fast.”",https://poshystore.com/panoxyl-10-percent-acne-treatment-gel,https://poshystore.com/images/hero-beauty-1.png,in_stock,"18.00 JOD",,PanOxyl,,,no,new,"Health & Beauty"
45,"Cetaphil Moisturizing Cream 85 g","Cetaphil Moisturizing Cream 85 g – rich hydration for dry, sensitive skin. Soothes, softens, and restores skin barrier daily.",https://poshystore.com/cetaphil-moisturizing-cream-85-g,https://poshystore.com/images/hero-beauty-1.png,in_stock,"13.00 JOD",,Cetaphil,,,no,new,"Health & Beauty"
46,"Cetaphil Daily Facial Cleanser – Normal to Oily Skin","Gentle Cetaphil Cleanser for normal to oily skin – removes dirt, oil, and impurities without drying. Perfect for daily acne-prone skin care.",https://poshystore.com/cetaphil-daily-facial-cleanser-normal-to-oily-skin,https://poshystore.com/images/hero-beauty-1.png,in_stock,"19.00 JOD",,Cetaphil,,,no,new,"Health & Beauty"
47,"Cetaphil Gentle Clear Mattifying Acne Moisturizer","Cetaphil Gentle Clear Mattifying Moisturizer – lightweight acne care, controls oil, prevents breakouts, hydrates, and smooths skin.",https://poshystore.com/cetaphil-gentle-clear-mattifying-acne-moisturizer,https://poshystore.com/images/hero-beauty-1.png,in_stock,"20.00 JOD",,Cetaphil,,,no,new,"Health & Beauty"
48,"Cetaphil Gentle Exfoliating SA Cleanser","Cetaphil Gentle Exfoliating Cleanser – salicylic acid formula for smooth, clear skin. Removes dead skin, unclogs pores, prevents breakouts.",https://poshystore.com/cetaphil-gentle-exfoliating-sa-cleanser,https://poshystore.com/images/hero-beauty-1.png,in_stock,"21.00 JOD",,Cetaphil,,,no,new,"Health & Beauty"
49,"Cetaphil Gentle Skin Cleanser – Normal to Dry Skin","Cetaphil Gentle Skin Cleanser – mild, non-irritating formula for normal to dry skin. Cleanses, soothes, and hydrates without stripping.",https://poshystore.com/cetaphil-gentle-skin-cleanser-normal-to-dry-skin,https://poshystore.com/images/hero-beauty-1.png,in_stock,"20.00 JOD",,Cetaphil,,,no,new,"Health & Beauty"
50,"La Roche-Posay Effaclar Duo [+] M –","Effaclar Duo [+] M – anti-acne moisturizer for oily, acne-prone skin. Reduces pimples, unclogs pores, controls shine, hydrates.",https://poshystore.com/la-roche-posay-effaclar-duo-plus-m,https://poshystore.com/images/hero-beauty-1.png,in_stock,"26.00 JOD",,"La roche posay",,,no,new,"Health & Beauty"
51,"Arencia Vitamin C Booster Shot Serum","Arencia Vitamin C Serum – brightening, dark spot care, antioxidant formula with Glutathione, Niacinamide & Vitamin E.",https://poshystore.com/arencia-vitamin-c-booster-shot-serum,https://poshystore.com/images/hero-beauty-1.png,in_stock,"23.00 JOD",,Arencia,,,no,new,"Health & Beauty"
52,"Aromatica Rosemary Root Enhancer Toner","Aromatica Rosemary Toner – revitalizing, refreshing toner for healthy skin, improves texture, hydration, and balance.",https://poshystore.com/aromatica-rosemary-root-enhancer-toner,https://poshystore.com/images/hero-beauty-1.png,in_stock,"19.00 JOD",,Aromatica,,,no,new,"Health & Beauty"
53,"TIRTIR Collagen Lifting Eye Cream","TIRTIR Collagen Eye Cream – reduces fine lines, lifts & firms delicate eye area, hydrates, brightens dark circles.",https://poshystore.com/tirtir-collagen-lifting-eye-cream,https://poshystore.com/images/hero-beauty-1.png,in_stock,"22.00 JOD",,TiRTiR,,,no,new,"Health & Beauty"
54,"TIRTIR Mask Fit Waterproof Setting Spray","TIRTIR Mask Fit Setting Spray – waterproof, long-lasting makeup hold, lightweight, prevents smudging, keeps skin fresh.",https://poshystore.com/tirtir-mask-fit-waterproof-setting-spray,https://poshystore.com/images/hero-beauty-1.png,in_stock,"21.00 JOD",,TiRTiR,,,no,new,"Health & Beauty"
55,"Beauty of Joseon Revive Eye Serum","Beauty of Joseon Revive Eye Serum – brightens, hydrates, and firms delicate under-eye area. Reduces dark circles & fine lines.",https://poshystore.com/beauty-of-joseon-revive-eye-serum,https://poshystore.com/images/hero-beauty-1.png,in_stock,"19.00 JOD",,"BEAUTY OF JOSEON",,,no,new,"Health & Beauty"
56,"Eucerin Roughness Relief Cream","Eucerin Roughness Relief Cream – smooths dry, rough skin, deeply hydrates, restores softness, ideal for very dry, rough areas.",https://poshystore.com/eucerin-roughness-relief-cream,https://poshystore.com/images/hero-beauty-1.png,in_stock,"25.00 JOD",,Eucerin,,,no,new,"Health & Beauty"
57,"Eucerin Advanced Repair Hand Cream","Eucerin Advanced Repair Hand Cream – repairs and deeply hydrates dry, chapped hands, restores softness, fast-absorbing, non-greasy.",https://poshystore.com/eucerin-advanced-repair-hand-cream,https://poshystore.com/images/hero-beauty-1.png,in_stock,"11.00 JOD",,Eucerin,,,no,new,"Health & Beauty"
58,"Eucerin Face Hydrating Cleansing Gel","Eucerin Face Hydrating Cleansing Gel – gentle, soap-free, hydrates normal to dry skin while cleansing, leaving skin soft and refreshed.",https://poshystore.com/eucerin-face-hydrating-cleansing-gel,https://poshystore.com/images/hero-beauty-1.png,in_stock,"22.00 JOD",,Eucerin,,,no,new,"Health & Beauty"
59,"Carmex Daily Care Moisturizing Lip Balm SPF 15 – Fresh Cherry","Carmex Fresh Cherry Lip Balm SPF 15 – daily hydration and sun protection for lips. Soft, smooth, and fruity flavored.",https://poshystore.com/carmex-daily-care-moisturizing-lip-balm-spf-15-fresh-cherry,https://poshystore.com/images/hero-beauty-1.png,in_stock,"4.00 JOD",,Carmex,,,no,new,"Health & Beauty"
60,"Celimax double RETINAL SHOT TIGHTENING BOOSTER","Retinal booster for tighter, smoother, more youthful‑looking skin.",https://poshystore.com/celimax-double-retinal-shot-tightening-booster,https://poshystore.com/images/hero-beauty-1.png,in_stock,"32.00 JOD",,Celimax,,,no,new,"Health & Beauty"
65,"ANUA PDRN Hyaluronic Acid 100 Moisturizing Cream","ANUA PDRN Hyaluronic Acid 100 Moisturizing Cream hydrates, repairs, and strengthens the skin barrier with PDRN (salmon DNA) and hyaluronic acid for smooth glass skin",https://poshystore.com/anua-pdrn-hyaluronic-acid-100-moisturizing-cream,https://poshystore.com/images/hero-beauty-1.png,in_stock,"25.00 JOD",,Anua,,,no,new,"Health & Beauty"
66,"Medicube Kojic Acid Turmeric Night Wrapping Mask","Medicube Kojic Acid Turmeric Night Wrapping Mask brightens skin, reduces dark spots, and improves uneven skin tone while you sleep. Powerful Korean overnight brightening mask.",https://poshystore.com/medicube-kojic-acid-turmeric-night-wrapping-mask,https://poshystore.com/images/hero-beauty-1.png,in_stock,"22.00 JOD",,Medicube,,,no,new,"Health & Beauty"
67,"Medicube PDRN Pink Caffeine Night Wrapping Mask","Medicube Pink Caffeine Night Mask hydrates, firms, and revitalizes tired skin overnight with caffeine and PDRN for brighter and smoother skin.",https://poshystore.com/medicube-pdrn-pink-caffeine-night-wrapping-mask,https://poshystore.com/images/hero-beauty-1.png,in_stock,"22.00 JOD",,Medicube,,,no,new,"Health & Beauty"
68,"Celimax Pore + Dark Spot Brightening Serum","Celimax Pore + Dark Spot Brightening Serum reduces dark spots, minimizes pores, and improves skin tone with powerful Korean brightening ingredients.",https://poshystore.com/celimax-pore-plus-dark-spot-brightening-serum,https://poshystore.com/images/hero-beauty-1.png,in_stock,"21.00 JOD",,Celimax,,,no,new,"Health & Beauty"
69,"Celimax Retinol Shot Tightening Serum","Celimax Retinol Shot Tightening Serum reduces wrinkles, tightens pores, and improves skin elasticity with powerful Korean retinol technology.",https://poshystore.com/celimax-retinol-shot-tightening-serum,https://poshystore.com/images/hero-beauty-1.png,in_stock,"24.00 JOD",,Celimax,,,no,new,"Health & Beauty"
70,"AXIS-Y Complete No-Stress Physical Sunscreen","AXIS-Y Complete No-Stress Physical Sunscreen SPF50 protects skin from UV rays while soothing sensitive skin with calming Korean skincare ingredients.",https://poshystore.com/axis-y-complete-no-stress-physical-sunscreen,https://poshystore.com/images/hero-beauty-1.png,in_stock,"21.00 JOD",,AXIS-Y,,,no,new,"Health & Beauty"
71,"Centella Tone Brightening Capsule Ampoule","Centella Tone Brightening Capsule Ampoule brightens dull skin, reduces dark spots, and improves skin tone with centella and brightening capsules.",https://poshystore.com/centella-tone-brightening-capsule-ampoule,https://poshystore.com/images/hero-beauty-1.png,in_stock,"24.00 JOD",,Centella,,,no,new,"Health & Beauty"
72,"ANUA Niacinamide 10% + TXA 4% Serum","ANUA Niacinamide 10% + TXA 4% Serum reduces dark spots, controls oil, and improves uneven skin tone for clearer and brighter skin.",https://poshystore.com/anua-niacinamide-10-percent-plus-txa-4-percent-serum,https://poshystore.com/images/hero-beauty-1.png,in_stock,"25.00 JOD",,Anua,,,no,new,"Health & Beauty"
73,"COSRX Advanced Snail 92 All In One Cream","COSRX Advanced Snail 92 All In One Cream hydrates, repairs, and soothes skin with 92% snail mucin to improve texture, reduce acne marks, and strengthen the skin barrier.",https://poshystore.com/cosrx-advanced-snail-92-all-in-one-cream,https://poshystore.com/images/hero-beauty-1.png,in_stock,"20.00 JOD",,Cosrx,,,no,new,"Health & Beauty"
74,"AXIS-Y TXA 2.5% Intensive Brightening Cream","AXIS-Y Dark Spot Correcting Glow Serum with Niacinamide and Tranexamic Acid helps fade dark spots, acne scars, and uneven skin tone while improving glow and hydration.",https://poshystore.com/axis-y-txa-25-percent-intensive-brightening-cream-tranexamic-acid-moisturizer-with-niacinamide-and-glutathione-for-dark-spots-and-uneven-skin-tone,https://poshystore.com/images/hero-beauty-1.png,in_stock,"20.00 JOD",,AXIS-Y,,,no,new,"Health & Beauty"
77,"Celimax pore dark spot brightening sunscreen SPF50+","Brightening sunscreen for pores and dark spots with high SPF protection.",https://poshystore.com/celimax-pore-dark-spot-brightening-sunscreen-spf50-plus,https://poshystore.com/images/Celimax%20pore%20dark%20spot%20brightening%20sunscreen%20SPF50%2B/1.png,in_stock,"19.00 JOD",,Celimax,,,no,new,"Health & Beauty"
79,"EQQUALBERRY Vitamin Illuminating Cream 5% Niacinamide + 3% TXA","EQQUALBERRY Vitamin Illuminating Cream brightens dark spots, evens skin tone, and strengthens the skin barrier with vitamin C, niacinamide, and TXA for glowing skin.",https://poshystore.com/eqqualberry-vitamin-illuminating-cream-vitamin-c-plus-5-percent-niacinamide-plus-3-percent-txa,https://poshystore.com/images/hero-beauty-1.png,in_stock,"27.00 JOD",,EQQUALBERRY,,,no,new,"Health & Beauty"
80,"SugarBearPro Hair Vitamin Gummies 35-Day Supply (Biotin 6000mcg)","SugarBearPro Hair Vitamin Gummies support hair growth, strength, and thickness with 6000 mcg biotin, B12, MSM, and vegan nutrients for healthier hair.",https://poshystore.com/sugarbearpro-hair-vitamin-gummy-35-day-supply-extra-strength-biotin-6000mcg-for-hair-growth-vegan-vitamin-b12-msm-inositol-omega-3-elderberry-certified-kosher-halal-cruelty-free,https://poshystore.com/images/hero-beauty-1.png,in_stock,"42.00 JOD",,Sugerbearpro,,,no,new,"Health & Beauty"
